cd,nm,gb
A093190,빅솔론,701
A065450,빅텍,701
A210120,빅텐츠,701
A005180,빙그레,701
A072950,빛샘전자,701
A266170,뿌리깊은나무들,701
A143240,사람인에이치알,701
A280140,사우스케이프,701
A274460,사운드백신,701
A003960,사조대림,701
A008040,사조동아원,701
A007160,사조산업,701
A014710,사조씨푸드,701
A006090,사조오양,701
A168570,산타크루즈,701
A100090,삼강엠앤티,701
A122350,삼기,701
A014970,삼륭물산,701
A018310,삼목에스폼,701
A002580,삼미,701
A053700,삼보모터스,701
A009620,삼보산업,701
A070080,삼보오토,701
A161990,삼보컴퓨터,701
A023600,삼보판지,701
A001470,삼부토건,701
A006400,삼성SDI,701
A006660,삼성공조,701
A380320,삼성머스트스팩5호,701
A018360,삼성메디슨,701
A028260,삼성물산,701
A207940,삼성바이오로직스,701
A032830,삼성생명,701
A377630,삼성스팩4호,701
A018260,삼성에스디에스,701
A028050,삼성엔지니어링,701
A009150,삼성전기,701
A005930,삼성전자,701
A001360,삼성제약,701
A010140,삼성중공업,701
A016360,삼성증권,701
A068290,삼성출판사,701
A029780,삼성카드,701
A000810,삼성화재,701
A006110,삼아알미늄,701
A009300,삼아제약,701
A145990,삼양사,701
A003230,삼양식품,701
A225190,삼양옵틱스,701
A002170,삼양통상,701
A272550,삼양패키징,701
A000070,삼양홀딩스,701
A002810,삼영무역,701
A361670,삼영에스앤씨,701
A054540,삼영엠텍,701
A065570,삼영이엔씨,701
A005680,삼영전자,701
A003720,삼영화학,701
A023000,삼원강재,701
A004380,삼익THK,701
A002450,삼익악기,701
A032280,삼일,701
A002290,삼일기업공사,701
A004440,삼일씨엔에스,701
A000520,삼일제약,701
A009770,삼정펄프,701
A066190,삼중테크,701
A037460,삼지전자,701
A032750,삼진,701
A054090,삼진엘앤디,701
A005500,삼진제약,701
A000250,삼천당제약,701
A004690,삼천리,701
A024950,삼천리자전거,701
A038500,삼표시멘트,701
A017480,삼현철강,701
A010960,삼호개발,701
A046390,삼화네트웍스,701
A004450,삼화왕관,701
A009470,삼화전기,701
A011230,삼화전자,701
A001820,삼화콘덴서,701
A000390,삼화페인트,701
A027580,상보,701
A038540,상상인,701
A329560,상상인이안제2호스팩,701
A101000,상상인인더스트리,701
A001290,상상인증권,701
A041650,상신브레이크,701
A091580,상신이디피,701
A263810,상신전자,701
A089980,상아프론테크,701
A042940,상지카일룸,701
A042600,새로닉스,701
A075180,새론오토모티브,701
A252990,샘씨엔에스,701
A263540,샘코,701
A007540,샘표,701
A248170,샘표식품,701
A003260,서광,701
A294630,서남,701
A038070,서린바이오,701
A006730,서부T&D,701
A079650,서산,701
A100660,서암기계공업,701
A007860,서연,701
A200880,서연이화,701
A019770,서연탑메탈,701
A017390,서울가스,701
A279000,서울개인택시복지법인,701
A043710,서울리거,701
A092190,서울바이오시스,701
A046890,서울반도체,701
A004410,서울식품,701
A063170,서울옥션,701
A027040,서울전자통신,701
A018680,서울제약,701
A021050,서원,701
A093920,서원인텍,701
A189860,서전기전,701
A178320,서진시스템,701
A122690,서진오토모티브,701
A140070,서플러스글로벌,701
A011370,서한,701
A065710,서호전기,701
A008490,서흥,701
A035890,서희건설,701
A357550,석경에이티,701
A003100,선광,701
A123420,선데이토즈,701
A007610,선도전기,701
A067370,선바이오,701
A171090,선익시스템,701
A136490,선진,701
A086710,선진뷰티사이언스,701
A014620,성광벤드,701
A037350,성도이엔지,701
A014910,성문전자,701
A003080,성보화학,701
A004980,성신양회,701
A011300,성안,701
A081580,성우전자,701
A045300,성우테크론,701
A015750,성우하이텍,701
A015200,성원,701
A000180,성창기업지주,701
A080470,성창오토텍,701
A043260,성호전자,701
A148150,세경하이테크,701
A002420,세기상사,701
A053060,세동,701
A340440,세림B&G,701
A042380,세메스,701
A017510,세명전기,701
A004360,세방,701
A004490,세방전지,701
A011560,세보엠이씨,701
A001430,세아베스틸,701
A306200,세아제강,701
A003030,세아제강지주,701
A019440,세아특수강,701
A058650,세아홀딩스,701
A052190,세영디앤씨,701
A013000,세우글로벌,701
A100700,세운메디칼,701
A234100,세원,701
A024830,세원물산,701
A091090,세원이앤씨,701
A021820,세원정공,701
A067830,세이브존I&C,701
A033530,세종공업,701
A258830,세종메디칼,701
A036630,세종텔레콤,701
A039310,세중,701
A075580,세진중공업,701
A067770,세진티에스,701
A053450,세코닉스,701
A234340,세틀뱅크,701
A027970,세하,701
A252500,세화피앤씨,701
A347000,센코,701
A300090,센코어테크,701
A308170,센트랄모텍,701
A012600,센트럴인사이트,701
A331920,셀레믹스,701
A049180,셀루메드,701
A299660,셀리드,701
A268600,셀리버리,701
A108860,셀바스AI,701
A208370,셀바스헬스케어,701
A179690,셀인바이오,701
A258250,셀젠텍,701
A068270,셀트리온,701
A068760,셀트리온제약,701
A091990,셀트리온헬스케어,701
A290690,소룩스,701
A053110,소리바다,701
A950200,소마젠,701
A032680,소프트센,701
A258790,소프트캠프,701
A066910,손오공,701
A043100,솔고바이오,701
A336370,솔루스첨단소재,701
A154040,솔루에타,701
A248070,솔루엠,701
A035610,솔본,701
A357780,솔브레인,701
A036830,솔브레인홀딩스,701
A304100,솔트룩스,701
A004430,송원산업,701
A086980,쇼박스,701
A050960,수산아이앤티,701
A017550,수산중공업,701
A084180,수성이노베이션,701
A253840,수젠텍,701
A185190,수프로,701
A236200,슈프리마,701
A317770,슈프리마아이디,701
A094840,슈프리마에이치큐,701
